X,Y,Z
44.8978,-4.94915,210.13
32.886,-3.78459,164.546
44.1963,-4.72697,205.519
46.1292,-4.4379,192.951
36.9028,-3.34518,149.023
38.2288,-3.55865,162.534
44.6899,-4.06933,185.858
34.1782,-3.09086,141.168
34.4964,-3.01976,137.921
43.8914,-4.88262,225.853
37.9767,-3.64461,168.587
34.8133,-3.12952,146.635
41.8026,-4.35798,206.874
40.4147,-4.19609,199.189
35.6463,-3.59902,175.448
35.9582,-3.60601,175.789
34.6043,-3.02153,147.296
44.1617,-3.77182,183.872
38.0922,-3.20189,156.088
35.4947,-2.87301,140.056
40.4479,-4.218,208.43
35.5764,-3.56783,176.302
36.9547,-3.01329,148.9
35.6184,-3.50886,175.789
36.0903,-3.51227,175.96
44.59,-4.26217,216.526
44.1023,-4.16528,211.604
44.0306,-3.67636,189.424
36.481,-3.33128,176.675
45.1113,-3.64203,193.155
40.8482,-3.90259,213.224
35.4315,-3.13939,174.154
40.8374,-3.78921,213.475
33.6164,-2.99386,168.667
36.5564,-2.85256,160.706
44.4912,-3.14999,180.269
34.9077,-2.89058,179.625
37.3588,-2.97925,185.135
50.5168,-3.51401,218.366
33.4849,-2.32706,164.363
42.0403,-3.20759,235.758
40.7038,-2.61146,200.069
41.0041,-1.95234,149.572
42.6665,-2.58813,211.728
37.3222,-2.25468,184.449
43.7032,-2.57346,215.397
34.2751,-1.98784,170.32
34.1802,-1.89107,170.082
44.9513,-1.63611,159.005
41.163,-2.00267,205.676
36.9287,-1.42348,146.193
44.1188,-1.78508,188.683
41.4293,-1.69584,209.903
38.9151,-1.48846,190.759
47.3574,-1.79108,256.826
31.7236,-0.924261,173.864
44.292,-0.37269,163.709
43.1979,-0.3893,194.628
44.3089,-0.139453,155.82
51.2621,-0.170961,276.347
39.3197,-0.0477526,139.493
36.4089,-0.00855999,129.675
44.0147,0.0762829,156.764
38.765,0.0664656,136.589
38.8747,0.104198,136.577
41.5049,0.597708,246.903
42.0433,0.774203,260.372
38.8125,0.709853,238.73
38.8007,0.660662,134.619
41.7466,0.685852,139.752
39.1073,1.24486,240.136
36.8248,0.731526,127.519
39.315,0.831331,138.258
42.5482,1.64037,260.822
45.7519,1.00507,159.808
36.2254,1.70556,230.653
39.4837,1.00717,136.205
38.7537,1.02843,134.071
36.2288,1.83966,231.488
42.505,2.08479,262.333
35.8729,1.0334,125.665
37.1337,1.06662,129.705
43.6807,2.37402,270.512
41.2287,1.44107,145.837
40.8698,1.46275,144.005
31.6816,2.22303,207.561
41.2369,2.80572,255.377
29.8586,2.50521,198.127
31.2146,2.54892,201.584
42.0683,3.58704,277.618
35.8185,2.94339,218.459
29.9988,2.84698,199.057
48.4508,4.72158,323.869
41.5009,3.87274,265.644
29.5108,2.84121,191.263
45.0219,4.39161,290.234
34.6865,3.58568,232.721
41.3311,4.01935,260.868
40.491,4.22166,269.171
40.2577,4.20947,263.747
32.3961,3.54319,214.571
32.1422,4.49647,217.667
40.0205,5.80263,273.577
50.9131,7.42207,345.429
32.4667,4.72326,197.021
34.3504,4.59673,191.743
35.1944,5.05847,195.251
38.0883,5.87876,213.265
40.4522,8.0055,273.942
39.5926,6.40298,215.038
42.5427,7.02945,229.684
42.5522,7.14731,229.393
47.1358,9.54455,286.038
32.0458,6.59644,194.467
43.2528,8.68503,256.039
32.7924,5.453,156.922
29.0338,6.9386,198.099
36.2708,6.77163,191.819
33.4501,8.38821,228.662
33.009,8.34013,164.254
42.6764,10.7726,192.279
37.6968,8.5085,150.384
35.7496,8.13683,137.76
40.2677,12.3668,204.59
36.0312,9.04712,148.315
32.5999,11.3013,181.972
33.8249,9.73696,156.088
36.592,9.93517,156.493
36.5688,9.99569,156.764
35.1302,11.4463,178.739
32.4401,10.1559,158.59
38.9262,10.224,158.966
37.0617,10.5884,154.666
44.3348,15.0388,187.832
37.9609,11.9158,123.649
38.9037,12.4219,126.72
45.9776,15.2185,149.762
30.8548,20.1149,193.732
44.0118,14.9243,143.359
41.6005,27.5794,258.071
36.8004,12.8102,119.869
33.8899,23.1359,214.275
33.9279,23.0813,213.769
32.0686,23.4302,213.182
42.8801,15.3896,139.673
37.077,13.7197,120.879
49.688,18.7274,161.848
31.1356,-14.351,161.778
31.8856,-11.2136,164.542
31.5269,-11.1671,164.662
43.7172,-11.1868,164.952
43.7582,-11.1139,163.877
31.6875,-11.0923,164.363
31.8658,-11.0619,164.722
45.8225,-11.4533,171.396
43.7382,-10.9051,164.006
36.4191,-8.95706,135.384
43.7517,-10.7729,163.65
34.0744,-11.6969,178.586
33.7881,-11.4613,176.778
36.4058,-8.64197,134.671
37.5021,-12.5477,196.551
34.0444,-11.1735,178.739
45.8722,-10.37,169.481
36.5538,-7.79951,135.551
44.294,-9.30781,163.65
37.3727,-10.6489,195.194
37.1617,-10.3853,195.105
43.832,-8.49187,161.547
31.6071,-8.56361,163.946
43.8319,-8.45894,161.942
31.5241,-8.53088,164.363
39.4249,-7.38506,146.018
39.4556,-7.26713,145.595
35.0819,-6.57956,132.702
39.4352,-7.23281,145.877
34.665,-8.97898,182.314
38.7721,-7.05943,146.293
43.6429,-11,229.532
32.7786,-7.79691,163.828
41.7733,-8.82554,185.441
39.9675,-7.04495,148.028
49.6321,-9.01964,190.849
34.665,-8.55582,182.314
35.7009,-8.25072,175.813
38.0886,-6.76976,144.255
45.513,-8.36828,179.587
41.7996,-7.6356,163.863
50.3566,-9.163,196.642
44.9873,-7.88992,169.321
44.4643,-10.7259,231.832
37.2059,-8.70428,188.136
42.9688,-9.64833,208.541
34.7019,-8.35428,181.875
33.3033,-7.55813,164.542
33.4275,-7.48823,163.021
36.3532,-6.63235,144.388
50.9131,-9.07371,197.537
35.016,-6.12247,133.288
42.906,-9.4657,207.569
36.7777,-7.97309,174.838
46.9614,-8.53959,187.261
35.5897,-6.14684,134.791
34.9063,-5.90287,129.441
41.1675,-9.36129,206.783
48.3903,-10.7973,240.263
50.6519,-11.0831,246.623
50.4558,-11.212,251.346
33.4158,-7.32871,164.292
38.3216,-8.01298,179.631
32.5529,-6.85195,154.754
41.924,-7.34364,165.859
49.35,-8.49956,191.966
40.4548,-8.9297,203.203
41.3685,-8.98188,204.39
42.5038,-7.2844,165.763
33.5314,-7.1435,163.792
40.373,-7.03055,161.202
41.5468,-8.86996,204.936
49.6019,-8.3618,193.195
40.0912,-8.54952,199.057
38.4286,-6.59019,153.439
35.4122,-6.05689,141.022
49.6228,-8.26921,192.531
42.7057,-7.03514,163.798
36.9864,-8.03813,188.607
42.5283,-7.09612,166.503
33.593,-6.92777,163.828
37.9755,-7.02545,166.138
42.4939,-7.12769,168.556
36.1231,-6.03529,142.722
